user_id,first_pay_ts,first_pay_item,pre_pay_events,pre_pay_active_days,pre_pay_span_days,pre_pay_recency_days,obs_total_events,obs_active_days,obs_events_per_active_day,obs_w1_events,obs_w2_events,obs_decay_ratio,obs_activity_change_rate,obs_last_active_day,obs_recency_days,obs_unique_items,obs_unique_sources,obs_unique_platforms,obs_enter_count,obs_respond_count,obs_submit_count,obs_response_with_answer_count,obs_response_with_answer_rate,obs_play_video_count,obs_pause_video_count,obs_play_audio_count,obs_pause_audio_count,obs_quit_count,obs_pay_count,obs_refund_count,total_lifetime_events,is_refund_churn,is_non_renewal_churn,is_churn
u1,1567083992237,p157,1445,15,22.015558,0.99186,234,4,58.5,214,20,0.093458,-0.906542,12.009915,1.990085,90,3,1,65,35,31,35,1,5,5,28,30,34,1,0,3995,0,1,1
u1000,1549218681827,p87,1130,1,0.464545,0.168529,1726,6,287.666667,1710,16,0.009357,-0.990643,12.279302,1.720698,502,5,1,421,255,184,255,1,129,129,122,126,237,1,0,8483,0,1,1
u100043,1564949975752,p141,41,2,0.952699,0.60863,2478,12,206.5,1272,1206,0.948113,-0.051887,13.045615,0.954385,674,2,1,502,416,234,416,1,5,4,524,524,268,1,0,4658,0,1,1
u10005,1568748230673,p164,1889,9,16.665183,0.825731,1517,7,216.714286,1178,339,0.287776,-0.712224,13.168713,0.831287,548,4,1,386,242,183,242,1,30,30,219,222,203,1,0,4006,0,1,1
u10010,1564327802623,p128,0,0,0,0,915,8,114.375,166,749,4.512048,3.512048,10.773511,3.226489,348,6,1,263,187,130,187,1,0,0,100,101,133,1,0,915,0,1,1
u10011,1564410249198,p142,799,3,2.115446,0.041641,709,5,141.8,423,286,0.676123,-0.323877,13.463775,0.536225,342,1,1,224,142,112,142,1,0,0,59,59,112,1,0,2343,0,1,1
u10020,1553898650561,p75,0,0,0,0,679,4,169.75,268,411,1.533582,0.533582,7.386153,6.613847,323,4,1,195,152,96,152,1,2,1,67,66,99,1,0,895,0,1,1
u10021,1545719575310,p72,0,0,0,0,329,1,329,329,0,0,-1,0.404997,13.595003,156,3,1,90,88,47,88,1,0,0,27,27,43,1,0,811,0,0,0
u10026,1566603558993,p162,8,1,0.000616,15.407588,569,2,284.5,569,0,0,-1,0.532835,13.467165,209,5,1,147,60,74,60,1,10,10,73,73,73,1,0,577,0,1,1
u1003,1560209147985,p112,0,0,0,0,202,3,67.333333,202,0,0,-1,5.260861,8.739139,121,2,1,73,51,38,51,1,0,0,2,2,35,1,0,829,0,1,1
u10030,1566844662426,p136,0,0,0,0,1505,5,301,808,697,0.862624,-0.137376,9.24254,4.75746,479,3,1,367,266,179,266,1,9,7,233,232,188,1,0,1505,0,1,1
u10032,1557635334697,p115,0,0,0,0,1263,7,180.428571,728,535,0.73489,-0.26511,10.974902,3.025098,326,5,2,410,141,129,141,1,150,149,1,1,281,1,0,2631,0,1,1
u10033,1551880486899,p91,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,1
u10057,1555089728922,p105,0,0,0,0,1,1,1,1,0,0,-1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2207,0,0,0
u10060,1562767114126,p141,0,0,0,0,154,2,77,154,0,0,-1,3.946813,10.053187,57,4,1,41,25,22,25,1,0,0,21,21,19,1,0,4806,0,1,1
